,lat,lng,name,address,shop_id,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39
12,47.67951085666989,-122.38765084646352,Mabel Coffee,7001 24th Ave NW,13,0.01310950548399885,0.0,0.0,0.13478093832108531,0.00720443416952068,0.0,0.0,0.003927375969215347,0.0,0.0,0.1054031914023815,0.026571165573169686,0.009376418996794549,0.10826682824889128,0.0,0.006019918233414214,0.0,0.0,0.0009459377990586114,0.0,0.0,0.0,0.0,0.0,0.005248153828331783,0.0,0.046195814453036686,0.0,0.0,0.0,0.08527163663644619,0.0,0.0,0.039007276016625,0.0,0.013960221127095648,0.0,0.0,0.0,0.02492730139339516
13,47.67558909983674,-122.38743216516792,Royal Drummer Cafe,6420 24th Ave NW,14,0.008745066489303052,0.11772271051169615,0.0,0.0,0.0,0.005186966800254827,0.0,0.0,0.0,0.03144777832364529,0.0,0.0,0.0,0.0,0.0,0.011643856542368691,0.0,0.0,0.04825144622967298,0.035945194558155334,0.0,0.055271413221075684,0.11178907384024453,0.0,0.0,0.1478233229219597,0.0,0.0,0.0,0.06051146129291277,0.0,0.012887851874003124,0.03080103547227912,0.0,0.0,0.026767955060895642,0.0,0.0,0.08920652578165908,0.004541618836657783
14,47.671588049027825,-122.38780715628546,Java Bean,5819 24th Ave NW,15,0.02488538212267409,0.04658241071396341,0.0,0.07153304545905495,0.0023807821960677962,0.00397725831002876,0.022054279346383748,0.016041202177484136,0.0,0.0005740105222882358,0.09116274155653872,0.043807754277680314,0.05978562892870076,0.03664931001707817,0.0,0.0350371028939735,0.0,0.0,0.04087499552051574,0.0,0.07149397876151306,0.07587284002811763,0.011016608149702338,0.0021395317281064264,0.0,0.0057236175043344295,0.0,0.0010029048478604596,0.0,0.07584423354826587,0.031253304674252934,0.0,0.0,0.07722903961848306,0.05397771273818098,0.025630079404194563,0.0,0.05741621292579085,0.031690359373019804,0.04194548184720966
15,47.66992733254703,-122.38754364143229,Toast,5615 24th Ave NW,16,0.0,0.0,0.02531531907810119,0.0023760708850054297,0.0,0.0059373148762894064,0.0,0.0,0.0,0.0,0.0,0.012210939875349784,0.0,0.0,0.0,0.40553009041534654,0.015196591227556556,0.0,0.0009180651275570847,0.0,0.0,0.00697720628126499,0.0,0.0,0.0,0.0,0.0,0.04574003533153261,0.0,0.0,0.0,0.008141924393092118,0.16262919404831885,0.00016725347926852652,0.030290227428373225,0.0,0.0,0.0,0.0,0.02037833960387898
16,47.58107786746645,-122.3863837461017,Admiral Bird,2600 California Ave SW,17,0.0,0.16262089178427405,0.0,0.0,0.0,0.0,0.0,0.038716911980887864,0.0,0.023361097677217803,0.0,0.02748775675303713,0.0015119241945317275,0.0,0.0,0.2050574432232882,0.0,0.00949347894741146,0.006986781678233203,0.013938298645187565,0.0,0.004934922086946054,0.016949479909130025,0.0,0.06089312014292436,0.057791013722146276,0.0,0.0,0.04346476663363988,0.033972103525607936,0.0,0.005457689324957081,0.022453319102174782,0.0,0.0,0.05441523178527382,0.0033044613968849336,0.0,0.14557913951562346,0.0022292307273461174
17,47.5782012454133,-122.38666575482405,Freshy's Coffee,2735 California Ave SW,18,0.0,0.11539032048645405,0.0,0.0,0.0,0.0,0.0,0.0461672041939314,0.0,0.0,0.0,0.036519346863968974,0.017583803687777927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004465538575171922,0.0,0.0862563732334066,0.0,0.0,0.4366825944705483,0.0008331536503981406,0.0,0.0,0.0,0.0043529685114364535,0.02767784488709788,0.0,0.0,0.0,0.0,0.0,0.0
18,47.56442933911538,-122.38664758859598,Hotwire Coffeehouse,4410 California Ave SW,19,0.04612442856851201,0.03473562114919315,0.0,0.0,0.004569705992963914,0.0690604564756353,0.0,0.0,0.0,0.0,0.02911103821411619,0.014893095921232676,0.025745466811330442,0.0,0.0,0.0,0.0,0.0,0.1153180849936627,0.006049674475140117,0.0854308805153574,0.12987241675465114,0.014133938847291331,0.0,0.12645465932841699,0.07155560805021276,0.0,0.0,0.0,0.041722700279251984,0.026419670318877063,0.0,0.0,0.0,0.02177139354289692,0.0,0.0,0.0,0.0011374481457120944,0.01134050003491693
19,47.5632396000877,-122.38690977158495,Red Cup Espresso,4451 California Ave SW,20,0.018034195953598703,0.0,0.13945940153278458,0.0,0.0006606184541013192,0.0019286980084964199,0.0076916245642870765,0.0,0.0014889621418432547,0.0,0.023704533397927642,0.07170191347236064,0.10095653231186276,0.020223165986694696,0.0,0.0,0.021711416417814218,0.0,0.0,0.0,0.017523951968751932,0.0,0.0,0.009877345069257021,0.23062271136320506,0.0,0.0,0.003811188898333968,0.0,0.04693892844600694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05507163023242096,0.055793241789817184,0.002865132417101357
20,47.55927456076475,-122.38736972486437,Uptown Espresso,4301 SW Edmunds St,21,0.10630027562448698,0.0,0.0,0.0,0.0,0.0,0.0,0.11651338476867752,0.0,0.0,0.04957452768170564,0.0,0.0,0.0,0.0,0.0,0.02416461192570844,0.0,0.0,0.0,0.09139380687898524,0.04115111114672747,0.09888253581091068,0.0,0.22466179346386875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004496877589492415,0.0,0.0,0.0,0.0,0.0
21,47.56118494421977,-122.3866683440604,Cupcake Royale and Verite Coffee,4556 California Ave SW,22,0.018452519367625767,0.0,0.002356760469159975,0.0,0.0002594039090743665,0.5870858496317947,0.0,0.005400925558194176,0.0,0.0,0.007936289438768044,0.006414682417571779,0.0,0.0,0.004478224807507709,0.0,0.004626141555891723,0.0,0.004733120657768484,0.0,0.009209654510568224,0.0,0.0,0.0,0.04492465579270757,0.00736365718877251,0.0,0.0,0.0014568800317141944,0.014986706320383647,0.0,0.0,0.0,0.01154732222745203,0.0,0.0,0.0,0.0,0.0,0.0
23,47.551717503045616,-122.38673021739237,C & P Coffee,5612 California Ave SW,24,0.08877835029236482,0.0,0.0006744352597350772,0.0,0.0,0.0,0.006703383588677869,0.017801419552964444,0.000127270130220531,0.0,0.04454223024850927,0.07699951887928398,0.05443030931853855,0.0,0.02591073079227786,0.0,0.0,0.0,0.0,0.0,0.00935545569215473,0.0,0.0,0.0,0.1411725508173394,0.0,0.0,0.015635884966637384,0.0,0.13362393845975265,0.07421021283226112,0.0005923080898923092,0.002245733566241889,4.878111623421441e-05,0.04128687418323587,0.10747164134723257,0.0,0.0691138028602743,0.0,0.0
24,47.547474,-122.38716000000001,QED Coffee,6032 California Ave SW,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028431030510168712,0.0,0.0,0.0,0.0,0.0,0.006711960070425595,0.0,0.0,0.0,0.0,0.3728916961719997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2810643042904688,0.0,0.0,0.0
25,47.54034741082549,-122.38742974688394,Caffe Ladro,7011 California Ave SW,26,0.0054073919497169476,0.0025166287959096445,0.0,0.0,0.006121132149608526,0.0,0.0,0.0,0.0,0.002718155277415792,0.0,0.02767330920654406,0.015313290858464366,0.00552348583477484,0.0,0.0,0.06511370515180659,0.0,0.040479182701838715,0.0,0.030825700617273917,0.0011192370166211894,0.0,0.0,0.19792044509293705,0.0,0.041246975717166255,0.0,0.0,0.11067090685946812,0.0009026109471293236,0.0,0.0009069301849011877,0.0,0.24667855415102166,0.12074688999353747,0.06374428958036556,0.017952304282650752,0.0,0.0
26,47.66885345349778,-122.38471629745672,Ballard Coffee Works,"2060 NW Market St, Seattle, WA 98107",27,0.06912066678112885,0.0,0.023842613313071796,0.0,0.0,0.0,0.008642722878304625,0.09271611461889057,0.0,0.0,0.0,0.0980942858485057,0.0,0.1131770126016324,0.0,0.016551530122108606,0.026288922473553116,0.0,0.019611072691660788,0.0,0.008696494973960396,0.09395412641964562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03807143490860335,0.0,0.0,0.11699184086707715,0.057696357613990765,0.007253183144578605,0.003237256327500113,0.043952287287825464,0.028569307960526643,0.0041405530824418545,0.05375990166483565
